aaradhanayennum_eeshoykku,			aaradhanayennum eeshoykku mathram,		 Bcm[\sbìw Cutimíp am{Xw,					elavation, Unknown Album, Unknown Unknown, 2021, G Major
aaradhanaykkettam_yogyanaayavane,	aaradhanaykkettam yogyanaayavane,		 Bc[\tíäw tbmKy\mbht\ A\izc\mb X¼pcmt\,		elavation, Unknown Album, Unknown Unknown, 2021, G Major
divyakaarunyame_aaradhyane,			divyakaarunyame aaradhyane,				 ZnhyImê®yta Bcm[yt\ Iê\mÀ{Z kvt\lta,		elavation, Unknown Album, Unknown Unknown, 2021, G Major
itha_daivam,						itha daivam bhoomiyil vannu,			 CXm ssZhw `qanbnÂ hì,						elavation, Unknown Album, Unknown Unknown, 2021, G Major
ee_loka_paapangal,					eeloka paapangal neekkum,				 Cu temI ]m]§Ä \oçw,						elavation, Unknown Album, Unknown Unknown, 2021, G Major
en_jeevithathinte_saubhagyame,		aaradhana en jeevithathinte saubhagyame, F³ PohnX¯nsâ ku`mKyta F³ Bßmhn³ kmbqPyta,	elavation, Unknown Album, Unknown Unknown, 2021, G Major
itha_itha_ee_althaarayil,			itha itha ee althaarayil snehapithavam,	 CXm CXm Cu AÄ¯mcbnÂ,						elavation, Unknown Album, Unknown Unknown, 2021, G Major
koode_vasikkunna,					koode vasikkunna daivam snehathin,		 IqsS hknç¶ ssZhw kvt\l¯n³ cq]¯nembv,		elavation, Unknown Album, Unknown Unknown, 2021, G Major
parisudha_parama,					parisudha parama divya kaarunyame,		 ]cnip² ]ca Znhy Imê®yta,					elavation, Unknown Album, Unknown Unknown, 2021, G Major
swargathin_sammanamay,				swargathin sammanamaay bhoovilekk,		 kzÀ¤¯n³ k½m\ambv `qhnte¡nì h¶,				elavation, Unknown Album, Unknown Unknown, 2021, G Major
swargathil_ninnum,					swargathil ninnum bhoovilirangiya,		 kzÀ¤¯nÂ \nìw `qhnend§nb,					elavation, Unknown Album, Unknown Unknown, 2021, G Major
swargeeya_raajavezhunnellunnu,		swargeeya raajavezhunnellunnu,			 kzÀ¤ob cmPmshgps¶Åpì,						elavation, Unknown Album, Unknown Unknown, 2021, G Major
oh_divyamaam_snehame,				oh divyamaam snehame oh divya,			 Hm Znhyamw kvt\lta Hm Znhy Imê®yta,		elavation, Unknown Album, Unknown Unknown, 2021, G Major
