aadiphalam_daiva_sannidhe,			aadiphalam daiva sannidhe,			BZn^ew ssZh k¶nt[bÀ¸n¨,							offering,	Unknown Album, Unknown Unknown, 2021, G Major	
ee_balipeedathil_ekidunnu,			ee balipeedathil ekidunnu njan,		Cu _en]oT¯nÂ GInSp¶q Rm³,						offering,	Unknown Album, Unknown Unknown, 2021, G Major	
ee_snehabaliyil,					ee snehabaliyil kazhchayekan,		Cu kvt\l_enbnÂ Imgv¨tbIm³ AWbp¶nXm, 			offering,	Unknown Album, Unknown Unknown, 2021, G Major
ente_daivam_enikku,					ente daivam enikku thanna,			Fsâ ssZhw F\nç X¶ kvt\l k½m\w,					offering,	Unknown Album, Unknown Unknown, 2021, G Major
israyelin_nayaka,					israyelin nayaka ente nalla,		C{ktben³ \mbIm Fsâ \Ã ssZhta,					offering,	Unknown Album, Unknown Unknown, 2021, G Major
kaasayil_peelasayil,				kaasayil peelasayil kazhchayekam,	ImkbnÂ ]oemkbnÂ Imgv¨tbImw PohnXw,				offering,	Unknown Album, Unknown Unknown, 2021, G Major
kai_neetti_nilkkunna,				kai neetti nilkkunna,				ssI\o«n \nÂç¶ tbip\Ym,							offering,	Unknown Album, Unknown Unknown, 2021, G Major
kazchayekam_kasayil,				kazchayekam kasayil pakarnnidam,	Imgv¨tbImw ImkbnÂ ]IÀ¶nSmw ]oemkbnÂ,			offering,	Unknown Album, Unknown Unknown, 2021, G Major
kazchayekeedam_ee_vediyil,			kazchayekeedam ee vediyil sweekar,	Imgv¨tbIoSmw Cu thZnbnÂ kzoImcyamw Cu thfbnÂ,	offering,	Unknown Album, Unknown Unknown, 2021, G Major
kazchayekam_daivame_jeevitham,		kazchayekam daivame jeevitham bali,	Imgv¨tbImw ssZhta PohnXw _enbmbv,				offering,	Unknown Album, Unknown Unknown, 2021, G Major
moriya_malayil,						moriya malayil dahana balithan,		tamdnbm aebnÂ Zl\_en X³ thZnbnÂ,				offering,	Unknown Album, Unknown Unknown, 2021, G Major
oru_kunju_poovu,					oru kunju poovu njan,				Hê æªp ]qhp Rm³ Imgv¨tbæì,						offering,	Unknown Album, Unknown Unknown, 2021, G Major
poornnamay_ekidunnu,				poornnamay ekidunnu daivame, 		]qÀ®ambv GInSpì ssZhta,							offering,	Unknown Album, Unknown Unknown, 2021, G Major
snehapoorvam_nalkunnu,				snehapoorvam nalkunnu nadha,		kvt\l]qÀÆw \Âæì \mYm,							offering,	Unknown Album, Unknown Unknown, 2021, G Major
snehaswaroopa_thava,				snehaswaroopa thava darsanam,		kvt\lkzcq]m Xh ZÀi\w Cu ZmkcnÂ GInSq,			offering,	Unknown Album, Unknown Unknown, 2021, G Major
